location_name,country,last_updated,temperature_celsius,humidity,precip_mm,z_score_outlier,iqr_outlier,iso_forest_outlier,lof_outlier,dbscan_outlier,outlier_votes,consensus_outlier
Hanoi,Vietnam,2024-09-08 19:15:00,28.1,94,4.65,True,True,True,True,True,5,True
Seoul,South Korea,2025-02-07 19:30:00,-9.6,52,0.0,True,True,True,True,True,5,True
Palikir,Micronesia,2024-11-11 20:00:00,27.1,89,3.77,True,True,True,True,True,5,True
Astana,Kazakhstan,2024-12-31 15:00:00,-10.9,96,0.0,True,True,True,True,True,5,True
Wellington,New Zealand,2025-09-21 20:00:00,16.2,63,0.02,True,True,True,True,True,5,True
Beijing,China,2025-02-06 18:30:00,-5.8,16,0.0,True,True,True,True,True,5,True
Oslo,Norway,2024-06-09 16:15:00,10.3,87,0.15,True,True,True,True,True,5,True
Vestmannaeyjar,Iceland,2025-02-06 10:15:00,8.0,100,2.02,True,True,True,True,True,5,True
Ottawa,Canada,2025-01-01 05:30:00,1.1,93,1.27,True,True,True,True,True,5,True
Oslo,Norway,2024-11-22 09:45:00,-7.6,57,0.0,True,True,True,True,True,5,True
Georgetown,Guyana,2025-05-21 04:45:00,24.2,100,0.94,True,True,True,True,True,5,True
Ottawa,Canada,2025-01-29 05:30:00,-12.9,85,0.0,True,True,True,True,True,5,True
Ulaanbaatar,Mongolia,2025-01-11 18:15:00,-20.6,84,0.0,True,True,True,True,True,5,True
Sarajevo,Bosnia and Herzegovina,2024-09-09 14:30:00,18.3,100,6.97,True,True,True,True,True,5,True
Ulaanbaatar,Mongolia,2025-01-02 18:15:00,-19.9,64,0.0,True,True,True,True,True,5,True
Airai,Palau,2024-09-10 21:30:00,27.2,89,1.27,True,True,True,True,True,5,True
Guatemala City,Guatemala,2024-07-25 06:15:00,16.3,98,0.0,True,True,True,True,True,5,True
Nuku`Aloia,Tonga,2024-10-18 22:45:00,20.3,100,0.99,True,True,True,True,True,5,True
Oslo,Norway,2024-12-02 11:45:00,6.0,100,0.0,True,True,True,True,True,5,True
Grindavik,Iceland,2024-06-02 14:00:00,8.0,57,0.01,True,True,True,True,True,5,True
Ulaanbaatar,Mongolia,2025-01-10 19:30:00,-16.8,59,0.0,True,True,True,True,True,5,True
Airai,Palau,2025-02-13 19:30:00,25.4,94,2.92,True,True,True,True,True,5,True
Palikir,Micronesia,2024-06-01 01:15:00,28.0,84,2.68,True,True,True,True,True,5,True
Nuku`Aloia,Tonga,2024-10-17 22:30:00,19.3,94,1.01,True,True,True,True,True,5,True
Ljubljana,Slovenia,2024-09-12 14:15:00,13.0,94,15.16,True,True,True,True,True,5,True
Ulaanbaatar,Mongolia,2025-01-20 17:45:00,-15.6,71,0.0,True,True,True,True,True,5,True
Bogot,Bulgaria,2024-08-03 15:30:00,33.3,34,2.72,True,True,True,True,True,5,True
Tallinn,Estonia,2024-12-12 12:45:00,-0.9,64,0.04,True,True,True,True,True,5,True
Ottawa,Canada,2025-02-17 05:15:00,-14.7,71,0.0,True,True,True,True,True,5,True
Vestmannaeyjar,Iceland,2024-08-15 12:15:00,8.2,100,1.0,True,True,True,True,True,5,True
Ottawa,Canada,2024-12-28 05:45:00,-7.7,92,0.0,True,True,True,True,True,5,True
Zagreb,Croatia,2025-11-14 08:30:00,1.3,93,0.0,True,True,True,True,True,5,True
Djibouti,Djibouti,2024-08-19 15:30:00,40.0,36,2.61,True,True,True,True,True,5,True
Ottawa,Canada,2025-03-07 04:45:00,-7.6,85,0.0,True,True,True,True,True,5,True
Ulaanbaatar,Mongolia,2024-11-26 17:00:00,-12.7,72,0.15,True,True,True,True,True,5,True
Ottawa,Canada,2025-01-19 05:00:00,-11.0,78,0.0,True,True,True,True,True,5,True
Vaduz,Liechtenstein,2025-07-21 10:30:00,17.1,77,8.04,True,True,True,True,True,5,True
Vestmannaeyjar,Iceland,2025-02-17 10:15:00,2.4,80,0.0,True,True,True,True,True,5,True
San Salvador,El Salvador,2024-06-18 08:00:00,21.2,100,8.99,True,True,True,True,True,5,True
Koror,Palau,2024-06-23 22:45:00,27.1,79,1.07,True,True,True,True,True,5,True
Ottawa,Canada,2025-01-15 05:30:00,-10.0,79,0.0,True,True,True,True,True,5,True
Koror,Palau,2025-11-13 16:30:00,30.2,75,1.5,True,True,True,True,True,5,True
Saint John's,Antigua and Barbuda,2024-08-13 08:30:00,26.9,87,0.54,True,True,True,True,True,5,True
Ulaanbaatar,Mongolia,2024-12-29 18:15:00,-21.9,99,0.0,True,True,True,True,True,5,True
Astana,Kazakhstan,2025-11-04 13:15:00,-11.0,72,0.0,True,True,True,True,True,5,True
