Feature,XGB_Temperature_Importance,XGB_Temperature_Std,XGB_Humidity_Importance,XGB_Humidity_Std,LGB_Temperature_Importance,LGB_Temperature_Std,LGB_Humidity_Importance,LGB_Humidity_Std
day,,,,,0.0003594527073656595,3.9995850149099406e-05,,
day_cos,0.005156525062325034,0.00011219544227132136,0.0031561357076710372,0.00035007477138596695,0.005181951113817762,0.0001114883734752957,0.002591402355270911,0.0002720252848895053
day_of_year,0.0024554623534911004,9.806106434388766e-05,0.0029690576225394616,0.0002803870765801376,0.0025725499702256237,8.475445635237652e-05,0.0016058614108230395,0.00017168433085158397
day_sin,0.0021649031432916964,0.00015759810225967502,0.004366040182861408,0.00023312157024557077,0.0016499230296553203,0.00010092396642109256,0.003013260421917263,0.0002462832555300042
humidity_diff_1,,,,,,,0.0011327266384676515,0.00024091637051739518
humidity_lag1,0.0011205401436016338,9.451672181721859e-05,0.25766718217429974,0.0022796987124253584,0.0007504218257395224,4.4014813177292906e-05,0.30762586537142533,0.00288467310465637
humidity_lag3,0.001286983734308611,9.872472416181505e-05,0.0058383083991342625,0.0005019373128413806,,,,
humidity_lag30,0.0005304490386790816,5.3695373465159426e-05,0.004246512136334091,0.0002654404009035027,,,,
humidity_lag7,,,0.01578934555113859,0.0004970648011354794,,,0.0019606225374443897,0.0002992897277390574
humidity_roll_mean_3,0.0009057225346986275,7.087006803694945e-05,0.057135586798894,0.0007871236839149502,,,0.08012130127880915,0.0009891249281867157
humidity_roll_mean_30,0.002773122143716511,0.0001547120704111759,0.13794106738724624,0.0014588235796949487,0.0010296508606705058,8.015128058013451e-05,0.0774492451404527,0.001370278587689917
humidity_roll_mean_7,0.0014303751875155979,0.00010095603821559456,0.021672797760542005,0.0009295536211066193,,,0.017018844070747784,0.0004710569174549926
latitude,0.01718322353540528,0.00033957771298916215,0.025252612707513257,0.0007086618223582485,0.01198445008389567,0.0002587575434665959,0.01218062198628055,0.00044698417195443684
longitude,0.0025936704204734262,0.00010411543164463673,0.02286354266277516,0.0006286601493572622,0.0015835066017361066,8.10126935432212e-05,0.01536675445424367,0.0005094911022615762
month_cos,,,,,0.00048173462263795264,2.100064997827882e-05,,
moon_illumination,,,,,0.0005083381290293953,4.51555477285675e-05,,
temperature_celsius_diff_1,0.0010319879473855264,0.00010821088736153439,0.0012084073443051958,0.0002009223144405985,0.0010928075538002347,0.00014440950347037516,0.0009706115692205919,0.0001828152127386322
temperature_celsius_lag1,0.7697764275003263,0.005955656514753953,0.02622025302017389,0.0007733206954499889,0.6692588861284487,0.004742288954643606,0.006490097729026057,0.0004241466084315568
temperature_celsius_lag3,0.00352229486061304,0.00012048516895990418,0.006097463250855861,0.0004065258815529685,0.0007769840139673744,8.840537025106085e-05,0.0017435792277417871,0.00013482810762398072
temperature_celsius_lag30,0.004888609653969822,0.00019111112536425692,0.009877009287011362,0.0003861571962164853,0.0016999669494765946,5.934091729510201e-05,0.0027061196270230627,0.00017772162074992373
temperature_celsius_lag7,0.0021020151758918025,0.00010955402807149736,0.007119165501642844,0.0007121053339787247,0.0014389100022511481,8.187393295525043e-05,0.0015012374304913534,0.00020360827868257418
temperature_celsius_roll_mean_3,0.025051341798002925,0.00032530546930196547,0.00977914289481765,0.00031577437441908434,0.040199949751727006,0.00035432795049666904,0.002610347467777263,0.00020857409269995348
temperature_celsius_roll_mean_30,0.1380946213318494,0.0010147230506681877,0.044196943570599376,0.00089741428227525,0.0828963626070861,0.0005243156521974924,0.0073391066148485225,0.00039262859557754096
temperature_celsius_roll_mean_7,0.027688854197278578,0.000403878825137752,0.00949320920847374,0.0003743211049083954,0.013669462564765833,0.00015150218150810816,0.00218908250922496,0.0002009798700389171
temperature_celsius_roll_std_7,,,,,0.00040530745530620305,4.495084527375933e-05,,
wind_dir_encoded,0.004207123527582968,0.00014766776697574467,,,0.004212696232810076,0.00015540906149817243,0.0010354806839367736,0.0001411511508511827
